plot_id,utm_x_start,utm_y_start,utm_x_end,utm_y_end
p1,44.90077998,-110.359563,44.900985,-110.359586
p2,44.92166902,-110.576066,44.92180003,-110.576205
p3,44.90278501,-110.32233,44.90291904,-110.322456
p4,44.90401698,-110.320998,44.90402604,-110.320767
p5,44.90649903,-110.322384,44.90633802,-110.322345
p6,44.928194,-110.587505,44.928137,-110.587725
p7,44.93343503,-110.598176,44.93341802,-110.597949
p8,44.93880004,-110.601276,44.93897103,-110.601185
p9,44.94048203,-110.595351,44.940519,-110.595138
p10,44.95333702,-110.707127,44.95343702,-110.70734
p11,44.94150404,-110.379455,44.941469,-110.3797
p12,44.94486996,-110.375565,44.94475303,-110.375789
p13,44.94136004,-110.37466,44.94133598,-110.374428
p14,44.94793204,-110.387223,44.94784696,-110.387441
p15,44.960322,-110.695949,44.96038101,-110.695666
p16,44.959819,-110.692451,44.95968296,-110.692613
p17,44.94078998,-110.518845,44.94079501,-110.519097
p18,44.953017,-110.700167,44.953161,-110.700347
p19,44.95851402,-110.709658,44.958554,-110.709882
p20,44.93767602,-110.507356,44.93780703,-110.50751
p21,44.93824901,-110.521538,44.93823996,-110.521774
p22,44.93846702,-110.542387,44.93856903,-110.542208
p23,44.94970799,-110.53526,44.94958897,-110.535048
p24,44.98618,-110.471192,44.98632099,-110.471348
p25,44.95187698,-110.382561,44.95190204,-110.382834
p26,44.94824703,-110.383259,44.94830604,-110.383496
p27,44.91945301,-110.559206,44.91956701,-110.558964
p28,44.92490997,-110.555672,44.92470302,-110.555612
p29,44.93545298,-110.33885,44.93539698,-110.339038
p30,44.98661997,-110.524283,44.98669197,-110.52405
p31,44.98702196,-110.654786,44.986942,-110.654592
p32,44.93714704,-110.364525,44.937039,-110.364399
p33,44.93881202,-110.360093,44.93895602,-110.360215
p34,44.87347802,-110.140057,44.87356897,-110.140057
p35,44.93035996,-110.356496,44.93029802,-110.356755
p36,44.93192897,-110.342483,44.93184398,-110.342759
p37,44.92651301,-110.551171,44.92667503,-110.551281
p38,44.92821001,-110.547855,44.92809501,-110.548053
p39,44.92424704,-110.552448,44.92411704,-110.552605
p40,44.87190801,-110.137964,44.92655701,-110.557392
p41,44.87206601,-110.138038,44.92670202,-110.557389
p42,44.99383402,-110.405619,44.99391197,-110.405363
p43,44.96551501,-110.422512,44.96548701,-110.42228
p44,44.962206,-110.627208,44.96234497,-110.627079
p45,44.97514003,-110.631903,44.97498496,-110.631758
p46,44.98726898,-110.645804,44.98738297,-110.645989
p47,44.97888347,-110.6565254,44.97886998,-110.656324
p48,44.97526702,-110.655919,44.97544899,-110.655947
p49,44.87282398,-110.135914,44.87283102,-110.136163
p50,44.975941,-110.519716,44.97588904,-110.519986
p51,45.00059201,-110.413634,45.00044801,-110.413784
p52,44.938966,-110.446453,44.93881001,-110.446464
p53,44.93490698,-110.443108,44.93508602,-110.443115
p54,44.93410374,-110.4468706,44.93419703,-110.446774
p55,44.90231303,-110.399653,44.90244898,-110.399802
p56,44.89761497,-110.397189,44.89751497,-110.396932
p57,44.99513003,-110.41693,44.995239,-110.416723
p58,44.879817,-110.136949,44.87987903,-110.137207
p59,44.88422697,-110.154957,44.884073,-110.15505
p60,44.87241796,-110.145508,44.87257001,-110.145578
p61,44.86538697,-110.162244,44.86524498,-110.162411
p62,44.85045796,-110.191928,44.85054103,-110.192124
p63,44.85379329,-110.1938037,,
p64,44.981262,-110.204133,44.98142503,-110.204211
p65,44.95624697,-110.24412,44.95609702,-110.243951
p66,44.85806303,-110.21617,44.857971,-110.216387
p67,44.84506203,-110.169528,44.84519798,-110.169445
p68,44.856764,-110.187028,44.85672796,-110.186811
p69,44.885138,-110.156541,44.88514697,-110.15681
p70,44.88060599,-110.165518,44.88047197,-110.165398
p71,44.88180603,-110.168669,44.88162397,-110.168786
p72,44.87889399,-110.164267,44.878737,-110.164291
p73,44.85592799,-110.214749,44.85594199,-110.214971
p74,44.84995547,-110.4220884,44.85014599,-110.422067
p75,44.916459,-110.423048,44.91627904,-110.4231
p76,44.87487101,-110.199657,44.87470002,-110.199575
p77,44.87825302,-110.2046,44.87825302,-110.204833
p78,44.88188499,-110.203248,44.88184199,-110.202986
p79,44.90712097,-110.226934,44.90713396,-110.227142
p80,44.99162396,-110.626208,44.99145297,-110.626222
p81,44.85337302,-110.187557,44.85346899,-110.187739
p82,44.92969603,-110.277283,44.92954901,-110.277386
p83,44.91838801,-110.420982,44.918229,-110.420903
p84,44.98617363,-110.6273574,44.98608101,-110.627511
p85,44.99513296,-110.633623,44.995082,-110.633919
p86,45.00608099,-110.650535,45.00623496,-110.650519
p87,45.00762996,-110.653096,45.007535,-110.653284
p88,44.95601697,-110.709831,44.95588403,-110.710019
p89,45.00569098,-110.654609,45.00559199,-110.654406
p90,44.99072802,-110.647679,44.990897,-110.647693
p91,44.97962804,-110.706643,44.97971202,-110.706867
p92,45.00735001,-110.514064,45.00742301,-110.514299
p93,44.99488603,-110.59993,44.99485603,-110.600149
p94,44.996131,-110.599197,44.995988,-110.599075
p95,44.87406299,-110.282271,44.87399099,-110.282002
p96,44.873977,-110.265544,44.87380701,-110.265496
p97,44.884432,-110.218944,44.88458899,-110.219079
p98,44.90972003,-110.228544,44.90978097,-110.228317
p99,45.00448398,-110.50195,45.00453704,-110.502147
p100,-110.467495,44.983835,-110.467266,44.98387598
p101,45.02653954,-110.56416,,
p102,45.008844,-110.514887,45.00888197,-110.515129
p103,44.97812499,-110.716861,44.97829598,-110.716893
p104,44.97754396,-110.720592,44.97751697,-110.7208
p105,44.98180004,-110.715513,44.98178503,-110.715286
p106,45.00341202,-110.505051,45.00355904,-110.504933
p107,44.97993297,-110.709461,44.97988402,-110.709235
p108,44.93803896,-110.324975,44.93819302,-110.324957
p109,44.983835,-110.467495,44.98386576,-110.467499
p110,44.983189,-110.713235,44.98335497,-110.713239
p111,44.91335501,-110.414948,44.913367,-110.414715
p112,44.91325501,-110.420293,44.91324697,-110.4205
p113,44.91378098,-110.425045,44.91389598,-110.425324
